pivo,massa,n,M,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,tempo_mad_ms,comparacoes_medias,trocas_medias,repeticoes
meio,aleatorio,100000,8,5.0016,5.0136062,4.903381,0.0959344290553,0.044878302,2136650.2,426735.2,15
meio,ordenado,100000,8,0.640774,0.671845266667,0.634915,0.107659997186,0.0043870134,1467247,16383,15
meio,repetidos,100000,8,2.256492,2.27512053333,2.188893,0.095897125473,0.0585463914,1576056.2,614981.266667,15
meio,aleatorio,100000,10,4.858482,4.8651098,4.770913,0.0551650728621,0.076991418,2128771.53333,450271.866667,15
meio,ordenado,100000,10,0.641165,0.640346333333,0.634165,0.00354953692486,0.002490768,1467247,16383,15
meio,repetidos,100000,10,2.215712,2.20552706667,2.149453,0.0337293750746,0.0193197606,1552110.26667,600690.066667,15
meio,aleatorio,100000,12,4.767703,4.77686433333,4.679363,0.0757894897676,0.050097054,2128157.6,476161.066667,15
meio,ordenado,100000,12,0.611626,0.615122666667,0.606286,0.0125787539791,0.0072810486,1402297,9888,15
meio,repetidos,100000,12,2.191863,2.21626993333,2.095084,0.0978402090857,0.062254374,1525218.6,585188.6,15
meio,aleatorio,100000,15,4.698513,4.69140486667,4.579794,0.0569156331987,0.0490577514,2136687.86667,517674.333333,15
meio,ordenado,100000,15,0.601755,0.6304042,0.594575,0.0708861506595,0.005574576,1383630,8191,15
meio,repetidos,100000,15,2.165343,2.22109726667,2.103173,0.166367696571,0.02720571,1496163.8,569092.8,15
meio,aleatorio,100000,20,4.552324,4.55776946667,4.480785,0.0455488905257,0.0182967666,2165609.6,589661.333333,15
meio,ordenado,100000,20,0.601975,0.6049746,0.595835,0.0122685225027,0.0057065274,1383630,8191,15
meio,repetidos,100000,20,2.129113,2.11977646667,2.054864,0.0389698631763,0.035122794,1463044.66667,550946.133333,15
meio,aleatorio,100000,25,4.491254,4.510441,4.379555,0.0964512512235,0.0477234114,2206890.86667,665052.8,15
meio,ordenado,100000,25,0.562305,0.563900266667,0.555645,0.00754143332783,0.0041972406,1291821,4095,15
meio,repetidos,100000,25,2.079184,2.07311146667,2.027764,0.0251152282373,0.0220744314,1427265,531971.733333,15
meio,aleatorio,100000,30,4.413415,4.40427053333,4.325646,0.0452433361531,0.046642596,2254781.53333,741003.733333,15
meio,ordenado,100000,30,0.560746,0.562634266667,0.555545,0.00591573302385,0.0046538814,1291821,4095,15
meio,repetidos,100000,30,2.043294,2.04040853333,1.987244,0.0286701538136,0.024522204,1403503.8,519419.266667,15
meio,aleatorio,100000,40,4.360455,4.3488152,4.275696,0.0400764553202,0.0459769086,2366897.2,898139.866667,15
meio,ordenado,100000,40,0.563155,0.562940133333,0.555545,0.00411006753276,0.0033373326,1291821,4095,15
meio,repetidos,100000,40,2.013484,2.003039,1.940574,0.0336190581261,0.0259291914,1369087.46667,501616.266667,15
meio,aleatorio,100000,50,4.344706,4.33397513333,4.241797,0.053619766487,0.060074952,2489006.4,1054923.46667,15
meio,ordenado,100000,50,0.529666,0.5298112,0.523776,0.00531459846891,0.0036308874,1195916,2047,15
meio,repetidos,100000,50,1.982944,1.972607,1.887605,0.0386739789689,0.034559406,1332375.66667,482886,15
meio,aleatorio,100000,70,4.398125,4.37995753333,4.304606,0.0443315904872,0.0282450126,2761030.13333,1380914.93333,15
meio,ordenado,100000,70,0.527706,0.530384266667,0.523096,0.00988548438344,0.0046094034,1195916,2047,15
meio,repetidos,100000,70,1.943094,1.9271708,1.851335,0.0378139499187,0.0294429534,1291346.8,462505.933333,15
meio,aleatorio,100000,100,4.539275,4.5364924,4.444615,0.0552520928431,0.0423000606,3191123.66667,1868506.33333,15
meio,ordenado,100000,100,0.492166,0.4961234,0.478357,0.016308875672,0.008243256,1097963,1023,15
meio,repetidos,100000,100,1.892705,1.88207313333,1.793596,0.0393439719014,0.04188345,1237993.93333,436521.6,15
meio,aleatorio,100000,150,4.850302,4.87806693333,4.751103,0.132018082141,0.051031092,3934615.26667,2677281.26667,15
meio,ordenado,100000,150,0.483076,0.4847322,0.477276,0.00791253971509,0.005159448,1097963,1023,15
meio,repetidos,100000,150,1.835796,1.83577613333,1.748446,0.0447372329655,0.0612892014,1190861.06667,415740.733333,15
meio,aleatorio,100000,200,5.180669,5.2047496,5.085929,0.100066869122,0.0567820974,4717552,3506888.06667,15
meio,ordenado,100000,200,0.439847,0.449511666667,0.433506,0.0293705735672,0.005960052,998986,511,15
meio,repetidos,100000,200,1.792455,1.819077,1.709657,0.104455379032,0.0441384846,1153137.73333,400824.6,15
mediana3,aleatorio,1000,1,0.0361745,0.036390305,0.02193,0.00182353298978,0.0005033427,14663.935,2684.295,200
mediana3,ordenado,1000,1,0.00532,0.0053454,0.005289,0.000370349271519,1.4826e-05,10031,511,200
mediana3,repetidos,1000,1,0.020835,0.02123223,0.01422,0.00197770528341,0.0004217997,11604.695,3855.44,200
mediana3,aleatorio,1000,2,0.03624,0.03628891,0.02106,0.00142583111685,0.0004455213,14663.935,2684.295,200
mediana3,ordenado,1000,2,0.00531,0.005339855,0.005289,0.000372395780132,1.4826e-05,10031,511,200
mediana3,repetidos,1000,2,0.02086,0.020948035,0.01603,0.00105922456883,0.000340998,11604.695,3855.44,200
mediana3,aleatorio,1000,3,0.035035,0.035128575,0.019679,0.00147542094986,0.0005418903,13416.495,2492.44,200
mediana3,ordenado,1000,3,0.00524,0.005267505,0.005229,0.000351685417868,0,9939,488,200
mediana3,repetidos,1000,3,0.02046,0.020534935,0.013169,0.00130070661537,0.000311346,10900.39,3624.975,200
mediana3,aleatorio,1000,4,0.0342795,0.03436073,0.01873,0.00149350706522,0.0005048253,12725.125,2480.805,200
mediana3,ordenado,1000,4,0.00476,0.004789315,0.00475,0.000293105304237,0,9007,255,200
mediana3,repetidos,1000,4,0.0199095,0.019948885,0.012879,0.00106439768599,0.0002957787,10378.66,3371.135,200
mediana3,aleatorio,1000,5,0.03361,0.033658935,0.01785,0.00148021807804,0.00051891,12283.015,2539.36,200
